id;name;description
1;Cardiology;Diagnosis and treatment of heart and cardiovascular diseases
2;Dermatology;Medical specialty dealing with skin, hair, and nail disorders
3;Neurology;Branch of medicine dealing with disorders of the nervous system
4;Orthopedics;Medical specialty focused on the musculoskeletal system
5;Pediatrics;Medical care of infants, children, and adolescents
6;Psychiatry;Medical specialty devoted to the diagnosis and treatment of mental disorders
7;Radiology;Medical discipline that uses medical imaging to diagnose and treat diseases
8;Oncology;Branch of medicine that deals with the prevention, diagnosis, and treatment of cancer
9;Gastroenterology;Branch of medicine focused on the digestive system and its disorders
10;Endocrinology;Medical specialty dealing with hormone-related diseases
