id;search_date;symptoms;ai_response_json
1;2025-04-26T05:43:44;meager;../fake-data/blob/hipster.txt
2;2025-04-25T16:56:53;concrete ack;../fake-data/blob/hipster.txt
3;2025-04-25T15:36:16;innovation fiercely going;../fake-data/blob/hipster.txt
4;2025-04-25T16:46:15;searchingly joyously;../fake-data/blob/hipster.txt
5;2025-04-25T20:56:18;yet yet;../fake-data/blob/hipster.txt
6;2025-04-26T07:53:05;boohoo delight;../fake-data/blob/hipster.txt
7;2025-04-26T10:53:09;provided draft save;../fake-data/blob/hipster.txt
8;2025-04-26T13:16:47;commonly;../fake-data/blob/hipster.txt
9;2025-04-25T15:08:06;extroverted highly;../fake-data/blob/hipster.txt
10;2025-04-25T21:17:44;ugh readies;../fake-data/blob/hipster.txt
